,Date,High,Low,Open,Close,Volume,Adj Close
23,2/2/2017,97.51000214,96.33000183,96.87999725,97.15000153,1156550,80.72405243
24,2/3/2017,98.55000305,97.34999847,97.40000153,98.01000214,1087136,81.43865204
25,2/6/2017,98.88999939,97.44000244,98.19999695,97.48999786,1201245,81.00658417
26,2/7/2017,98.84999847,97.68000031,97.68000031,98.48000336,1005447,81.82918549
27,2/8/2017,99.86000061,98,99.04000092,99.02999878,1580962,82.28618622
28,2/9/2017,100.0500031,98.94000244,99.48000336,99.98000336,1192801,83.07556915
29,2/10/2017,100.25,99.15000153,100.0500031,99.94999695,1344754,83.05064392
30,2/13/2017,100.6999969,99.55000305,99.80000305,100.6999969,1089770,83.67384338
31,2/14/2017,101.5500031,100.5,101,101.3000031,1196300,84.1723938
32,2/15/2017,102.6999969,101.1500015,102.4499969,101.5,1379165,84.33856964
33,2/16/2017,101.9499969,100.8000031,101.9499969,101.6500015,998251,84.4631958
34,2/17/2017,102.1500015,100.6999969,101.9000015,102.0500031,1474073,84.79557037
35,2/20/2017,102.6999969,101.3000031,102.6500015,102.4499969,708057,85.12793732
36,2/21/2017,103.75,102.1500015,102.5500031,103.5999985,1041977,86.08350372
37,2/22/2017,103.6500015,102.3000031,103.5999985,103.3499985,1721897,85.87576294
38,2/23/2017,103.25,102.3499985,102.75,103.0999985,976528,85.66804504
39,2/24/2017,103.5,102.25,103.5,102.8499985,1268871,85.46031189
40,2/27/2017,103.75,102.6500015,103.3499985,102.9499969,694228,85.54338837
41,2/28/2017,103.3000031,102.3000031,102.6500015,103.25,1195832,85.79269409
42,3/1/2017,105.1500015,103.3499985,103.5500031,103.9000015,1526990,86.33279419
43,3/2/2017,103.4000015,100.3000031,101,101.3000031,3144076,84.1723938
44,3/3/2017,102.3499985,100,100.0999985,102.3499985,1683795,85.04484558
45,3/6/2017,102.3499985,101,101,101.4499969,1483310,84.29701233
46,3/7/2017,101.5999985,100.25,101.4499969,101.5,2010424,84.33856964
47,3/8/2017,102.0999985,100.4000015,101.9499969,100.4499969,1764152,83.4661026
48,3/9/2017,100.6500015,99.93000031,100,100.4000015,1552061,83.42456055
49,3/10/2017,101.5,100.3000031,101.5,100.6999969,1569677,83.67384338
50,3/13/2017,101.5,100,101.5,100.9000015,864379,83.84001923
51,3/14/2017,101.4000015,100.5,101.1500015,101,1084706,83.92310333
52,3/15/2017,101.4499969,100.5500031,101,100.9499969,1087175,83.88156128
53,3/16/2017,103.1500015,101.3499985,101.9000015,102.9000015,1832520,85.50186157
54,3/17/2017,104.8499985,102.8000031,103.0999985,104.6999969,3385334,86.99751282
55,3/20/2017,104.5,103.5500031,103.5500031,104.1500015,1139348,86.54051208
56,3/21/2017,104.6500015,103.3000031,104.3000031,103.6999969,1206236,86.16659546
57,3/22/2017,103.9000015,102.4000015,103.5999985,102.8000031,1235721,85.4187851
58,3/23/2017,103.3000031,101.9000015,103,103.1999969,1062574,85.75112915
59,3/24/2017,103.0500031,102.25,102.5999985,102.4000015,966537,85.08638763
60,3/27/2017,102.5,101.8000031,102.1500015,102.4000015,1130702,85.08638763
61,3/28/2017,103.0999985,102,102.5,102.9499969,1054641,85.54338837
62,3/29/2017,103.0999985,102.0999985,102.75,102.8499985,1023858,85.46031189
63,3/30/2017,103.5500031,102.3499985,103.4499969,103.0500031,1160983,85.62649536
64,3/31/2017,103,101.6999969,102.5500031,102.9000015,2006530,85.50186157
65,4/3/2017,103.8499985,102.6500015,102.8499985,103.3499985,1097420,85.87576294
66,4/4/2017,103.9499969,103.3000031,103.5500031,103.8000031,962609,86.24970245
67,4/5/2017,104.75,103.4499969,104,103.8000031,1354887,86.24970245
68,4/6/2017,103.8000031,102.5,103.5999985,103.6999969,1032450,86.16659546
69,4/7/2017,103.9499969,102.6999969,103.9000015,103.8000031,1050492,86.24970245
70,4/10/2017,104.5999985,103.1500015,103.8499985,104.4000015,889228,86.74823761
71,4/11/2017,104.4000015,103.1999969,103.6999969,103.3000031,1332864,85.83422852
72,4/12/2017,103.8000031,103.0500031,103.25,103.5500031,1159020,86.0419693
73,4/13/2017,103.8000031,102.9000015,103.3000031,103.25,1167122,85.79269409
74,4/18/2017,104.4499969,102.4499969,104.25,103.1500015,1300458,85.70959473
75,4/19/2017,103.4000015,102.3499985,102.8000031,102.9000015,1433638,85.50186157
76,4/20/2017,103.1500015,101.1999969,103,101.3000031,1468102,84.1723938
77,4/21/2017,102,100.8499985,101.6999969,101.5500031,2227055,84.38011169
78,4/24/2017,104.0500031,102.5500031,103.8000031,103.8499985,2632567,86.29122925
79,4/25/2017,104.5500031,103.75,104.4499969,104.5,1472013,86.83132935
80,4/26/2017,104.8000031,103.6500015,104.1999969,103.75,1504333,86.20814514
81,4/27/2017,103.5500031,102,103.0999985,103,1415164,85.58496094
82,4/28/2017,103.8499985,102.25,103,103.4000015,1529497,85.91732025
83,5/2/2017,103.1999969,102.25,102.8000031,102.6999969,1338250,87.01882935
84,5/3/2017,104.6500015,102.3499985,102.3499985,103.6999969,1820522,87.86613464
85,5/4/2017,109.1999969,106.5,109,109.0999985,2779601,92.44160461
86,5/5/2017,109.5999985,107.25,107.25,109.3000031,1893721,92.61106873
87,5/8/2017,109.4499969,108.6500015,109.3499985,109,1391652,92.35688019
88,5/9/2017,110.0999985,108.5500031,108.6500015,109.3000031,1087692,92.61106873
89,5/10/2017,109.6500015,108.6500015,108.8499985,109.1999969,1130439,92.5263443
90,5/11/2017,110,108.6999969,109.3499985,109.0500031,1372609,92.39925385
91,5/12/2017,109.5500031,108.5999985,108.8000031,109.3499985,1332720,92.65343475
92,5/15/2017,109.6999969,108.6500015,109.6500015,108.8000031,1064549,92.18741608
93,5/16/2017,109.3499985,107.8499985,109.3499985,108.5,1332888,91.93322754
94,5/17/2017,109.0500031,107.5500031,108.3499985,107.75,1389878,91.29774475
95,5/18/2017,107.0500031,103.9000015,106.8000031,104.4000015,2978033,88.4592514
96,5/19/2017,105.8499985,104.9000015,105.5,105.6999969,1742729,89.56075287
97,5/22/2017,105.9499969,105.0999985,105.8000031,105.3000031,1014592,89.22183228
98,5/23/2017,105.8499985,104.6999969,104.6999969,105.5999985,981680,89.47602844
