,Date,High,Low,Open,Close,Volume,Adj Close
0,2017-01-03,160.48757934570312,158.70936584472656,159.6558380126953,159.8374786376953,3069278.0,124.06217956542969
1,2017-01-04,162.3996124267578,160.0,160.3919677734375,161.81643676757812,3536944.0,125.59815979003906
2,2017-01-05,161.9407196044922,159.90440368652344,161.806884765625,161.28106689453125,2805686.0,125.18268585205078
3,2017-01-06,162.44741821289062,160.15296936035156,161.27151489257812,162.07456970214844,3080993.0,125.79855346679688
4,2017-01-09,162.33270263671875,160.24856567382812,162.0172119140625,160.27725219726562,3336635.0,124.40351104736328
5,2017-01-10,160.69789123535156,158.06883239746094,160.5927276611328,158.2409210205078,4308160.0,122.82295989990234
6,2017-01-11,160.38241577148438,158.31739807128906,158.7476043701172,160.3728485107422,3765077.0,124.47771453857422
7,2017-01-12,160.6214141845703,158.27915954589844,160.3919677734375,160.56405639648438,3062165.0,124.62613677978516
8,2017-01-13,161.07073974609375,159.54110717773438,160.5831756591797,159.9808807373047,3007668.0,124.17345428466797
9,2017-01-17,160.783935546875,158.8145294189453,159.35946655273438,160.50669860839844,3468222.0,124.58158111572266
10,2017-01-18,161.1759033203125,159.35946655273438,160.08604431152344,159.46463012695312,4192159.0,123.77278900146484
11,2017-01-19,160.08604431152344,158.50860595703125,159.61758422851562,159.47418212890625,7283716.0,123.78019714355469
12,2017-01-20,163.13575744628906,158.69981384277344,160.43020629882812,163.04971313476562,13273740.0,126.55542755126953
13,2017-01-23,163.71893310546875,162.53346252441406,162.6003875732422,163.50860595703125,5730197.0,126.91162872314453
14,2017-01-24,168.26004028320312,163.6328887939453,163.8240966796875,168.1644287109375,7272210.0,130.52536010742188
15,2017-01-25,171.3671112060547,168.3843231201172,168.50860595703125,170.44932556152344,6194935.0,132.298828125
16,2017-01-26,171.0133819580078,169.70362854003906,170.2294464111328,170.8030548095703,3204839.0,132.5733642578125
17,2017-01-27,171.31930541992188,169.50286865234375,170.6214141845703,169.50286865234375,3642486.0,131.564208984375
18,2017-01-30,169.28298950195312,166.90248107910156,169.1969451904297,168.06883239746094,4283161.0,130.45114135742188
19,2017-01-31,167.85850524902344,165.9751434326172,167.35182189941406,166.84512329101562,4329394.0,129.5012969970703
20,2017-02-01,167.97323608398438,165.28680419921875,167.30401611328125,166.625244140625,2924302.0,129.3306884765625
21,2017-02-02,167.27532958984375,165.91778564453125,166.56787109375,166.90248107910156,2741043.0,129.54583740234375
22,2017-02-03,168.5850830078125,167.1988525390625,167.30401611328125,168.08795166015625,3461528.0,130.4659881591797
23,2017-02-06,168.2409210205078,166.71128845214844,167.6003875732422,168.12619018554688,2772737.0,130.49566650390625
24,2017-02-07,170.7648162841797,168.1644287109375,168.26004028320312,170.6118621826172,4051681.0,132.42498779296875
25,2017-02-08,169.69407653808594,168.1453094482422,169.69407653808594,168.4225616455078,3047103.0,131.75936889648438
