Date,Open,High,Low,Close,Adj Close,Volume
2021-09-22,213.660004,219.600006,211.960007,219.410004,219.299408,26872600
2021-09-23,221.399994,225.350006,218.899994,224.820007,224.706680,24855500
2021-09-24,220.699997,221.490005,218.610001,220.809998,220.698700,21765500
2021-09-27,217.100006,217.990005,213.250000,216.600006,216.490829,24521500
2021-09-28,212.139999,214.190002,206.509995,206.990005,206.885681,34306900
2021-09-29,209.399994,210.169998,204.669998,205.169998,205.066574,21839400
2021-09-30,207.679993,210.660004,206.880005,207.160004,207.055573,22100900
2021-10-01,207.500000,208.589996,202.029999,207.419998,207.315445,24097800
2021-10-04,205.039993,205.419998,195.550003,197.320007,197.220551,34563500
2021-10-05,199.500000,206.479996,198.539993,204.509995,204.406906,27928200
2021-10-06,201.199997,207.199997,200.800003,207.000000,206.895660,29720200
2021-10-07,210.919998,213.220001,209.720001,210.750000,210.643768,25691900
2021-10-08,211.009995,212.059998,207.750000,208.309998,208.204987,15125800
2021-10-11,205.750000,210.630005,205.110001,206.949997,206.845688,16338800
2021-10-12,208.279999,210.570007,205.279999,206.710007,206.605820,16213400
2021-10-13,209.179993,209.899994,207.130005,209.389999,209.284439,18065200
2021-10-14,212.880005,217.550003,211.220001,217.460007,217.350403,24358900
2021-10-15,218.100006,219.309998,216.619995,218.619995,218.509796,22699400
2021-10-18,217.490005,222.910004,216.440002,222.220001,222.107986,18949400
2021-10-19,222.759995,223.789993,220.369995,222.899994,222.787643,16147300
2021-10-20,223.050003,224.330002,219.820007,221.029999,220.918579,14627600
2021-10-21,220.970001,227.110001,220.830002,226.919998,226.805634,18759000
2021-10-22,228.229996,231.300003,225.610001,227.259995,227.145447,24938400
2021-10-25,229.729996,233.550003,227.699997,231.660004,231.543243,23023500
2021-10-26,239.889999,252.589996,239.240005,247.169998,247.045410,48589800
2021-10-27,244.740005,250.899994,242.820007,244.509995,244.386749,24599000
2021-10-28,248.779999,249.500000,245.229996,249.410004,249.284286,23420400
2021-10-29,250.009995,257.089996,250.000000,255.669998,255.541138,29250300
2021-11-01,256.489990,258.940002,252.270004,258.269989,258.139801,26574000
2021-11-02,258.220001,266.779999,258.000000,264.010010,263.876923,29411200
2021-11-03,266.700012,267.839996,262.350006,265.980011,265.845917,23991000
2021-11-04,272.290009,313.649994,271.179993,298.010010,297.859802,115363100
2021-11-05,301.869995,314.000000,294.100006,297.519989,297.370026,85126000
2021-11-08,301.489990,311.000000,299.070007,308.040009,307.884735,50310100
2021-11-09,322.820007,323.100006,299.640015,306.570007,306.415466,64674600
2021-11-10,293.559998,308.500000,287.779999,294.589996,294.441498,63620600
2021-11-11,304.679993,305.899994,297.769989,303.899994,303.746826,33217200
2021-11-12,300.100006,306.799988,296.299988,303.899994,303.746826,41305400
2021-11-15,305.519989,306.440002,292.470001,300.250000,300.098663,38490900
2021-11-16,297.589996,303.899994,297.059998,302.029999,301.877777,26448400
2021-11-17,304.179993,305.089996,288.000000,292.609985,292.462494,42850800
2021-11-18,323.670013,327.600006,313.209991,316.750000,316.590363,78171100
2021-11-19,322.429993,330.880005,319.049988,329.850006,329.683746,53386700
2021-11-22,335.170013,346.470001,319.000000,319.559998,319.398895,75433500
2021-11-23,315.350006,323.600006,308.799988,317.459991,317.299988,53216300
2021-11-24,314.609985,328.549988,309.279999,326.739990,326.575287,43516200
2021-11-26,326.000000,327.100006,313.500000,315.029999,314.871185,28306900
2021-11-29,323.660004,334.119995,320.359985,333.760010,333.591766,45496400
2021-11-30,331.690002,333.529999,318.640015,326.760010,326.595306,62206600
2021-12-01,332.190002,332.890015,313.799988,314.350006,314.230011,48436800
2021-12-02,312.140015,324.779999,310.250000,321.260010,321.137390,47289000
2021-12-03,320.000000,321.290009,301.299988,306.929993,306.812866,54432500
2021-12-06,298.799988,302.410004,280.380005,300.369995,300.255341,65893800
2021-12-07,309.570007,324.489990,306.510010,324.269989,324.146240,59305300
2021-12-08,319.989990,322.899994,314.209991,318.260010,318.138519,47555100
