Date,Open,High,Low,Close,Adj Close,Volume
2021-07-27,99.190002,100.309998,98.879997,99.839996,94.809242,2889300
2021-07-28,99.879997,99.970001,98.849998,98.940002,93.954582,3022100
2021-07-29,99.300003,100.629997,99.099998,100.290001,95.236565,3273900
2021-07-30,100.089996,100.449997,99.519997,100.089996,95.046631,3523100
2021-08-02,100.639999,101.519997,99.809998,100.029999,94.989662,3327400
2021-08-03,100.239998,100.849998,99.629997,100.440002,95.379005,3052600
2021-08-04,100.440002,100.660004,99.089996,99.489998,94.476875,2591700
2021-08-05,99.870003,100.129997,99.199997,99.589996,94.571838,1945100
2021-08-06,99.879997,100.019997,98.980003,99.209999,94.210983,2515800
2021-08-09,99.050003,99.430000,98.580002,99.199997,94.201485,2029900
2021-08-10,99.519997,100.510002,99.150002,99.959999,94.923195,2147000
2021-08-11,100.410004,100.550003,99.720001,99.760002,94.733276,2915200
2021-08-12,99.730003,100.150002,99.279999,100.010002,94.970665,2899800
2021-08-13,100.330002,101.830002,100.029999,101.589996,96.471054,2215000
2021-08-16,101.830002,102.430000,101.410004,102.389999,97.230743,3047600
2021-08-17,102.300003,103.000000,101.750000,102.500000,97.335213,3911400
2021-08-18,101.830002,102.239998,100.849998,100.949997,95.863304,2559700
2021-08-19,100.300003,101.650002,100.010002,101.419998,96.309631,2996900
2021-08-20,101.209999,101.949997,100.860001,101.419998,96.309631,2114600
2021-08-23,101.720001,102.080002,100.769997,100.849998,95.768349,2782500
2021-08-24,100.610001,100.760002,99.650002,100.629997,95.559433,2627700
2021-08-25,100.790001,101.730003,100.260002,101.239998,96.138695,2213600
2021-08-26,101.269997,101.639999,100.809998,101.250000,96.148193,1723800
2021-08-27,101.809998,102.410004,101.349998,102.099998,96.955360,2994400
2021-08-30,102.099998,103.180000,101.800003,103.070000,97.876488,2371300
2021-08-31,103.029999,103.629997,102.690002,103.000000,97.810013,3876900
2021-09-01,103.150002,103.610001,102.279999,103.559998,98.341797,3051500
2021-09-02,104.000000,105.650002,103.900002,105.639999,100.316994,4366400
2021-09-03,105.440002,106.250000,104.980003,106.099998,100.753807,2961300
2021-09-07,105.300003,106.510002,105.089996,106.059998,100.715828,6390600
2021-09-08,104.980003,105.279999,102.349998,103.680000,98.455750,6060200
2021-09-09,103.279999,103.669998,102.230003,102.580002,97.411179,4824600
2021-09-10,103.150002,104.959999,103.010002,103.570000,98.351295,3944000
2021-09-13,103.800003,104.339996,102.080002,102.589996,97.420670,3780700
2021-09-14,102.589996,103.000000,101.769997,101.959999,96.822411,3155000
2021-09-15,102.110001,104.050003,101.949997,104.000000,98.759628,5166000
2021-09-16,103.620003,104.000000,102.040001,102.830002,97.648582,4113700
2021-09-17,102.120003,102.699997,101.750000,101.860001,96.727463,8748200
2021-09-20,100.669998,101.300003,99.830002,100.989998,95.901299,6580100
2021-09-21,101.470001,102.180000,100.290001,100.510002,95.445480,3893900
2021-09-22,101.360001,101.389999,100.309998,100.510002,95.445480,3768100
2021-09-23,100.970001,102.029999,100.500000,101.449997,96.338112,4029000
2021-09-24,101.349998,102.080002,101.099998,101.820000,96.689468,3523800
2021-09-27,101.620003,103.040001,101.620003,102.510002,97.344704,4414900
2021-09-28,101.300003,101.300003,98.120003,98.419998,94.614517,6281700
2021-09-29,98.529999,99.750000,98.320000,99.489998,95.643143,3172600
2021-09-30,99.169998,99.279999,94.370003,94.790001,91.124870,7261300
2021-10-01,95.169998,96.300003,94.830002,96.080002,92.364998,4585000
2021-10-04,96.199997,96.949997,95.410004,96.190002,92.470734,4091500
2021-10-05,96.610001,96.949997,95.769997,96.389999,92.663002,4250200
2021-10-06,95.519997,96.889999,95.110001,96.639999,92.903336,3309000
2021-10-07,97.419998,97.910004,95.440002,95.650002,91.951622,4343700
2021-10-08,95.910004,96.250000,95.180000,95.349998,91.663216,3976300
2021-10-11,95.300003,95.699997,94.849998,95.120003,91.442108,2840200
2021-10-12,95.489998,96.269997,95.349998,95.580002,91.884331,3168700
2021-10-13,95.580002,97.660004,95.199997,97.470001,93.701248,4996100
2021-10-14,98.320000,99.360001,97.790001,98.849998,95.027885,4477800
2021-10-15,99.400002,99.730003,98.059998,98.370003,94.566444,3971000
2021-10-18,97.339996,97.750000,96.550003,97.449997,93.682014,3826600
2021-10-19,96.199997,97.529999,95.709999,95.790001,92.086197,4223900
2021-10-20,95.910004,97.550003,95.699997,97.019997,93.268639,3778600
2021-10-21,96.620003,96.910004,96.169998,96.519997,92.787971,3601900
2021-10-22,96.540001,97.290001,96.220001,96.879997,93.134056,3310200
2021-10-25,97.470001,97.470001,96.199997,96.540001,92.807205,3934900
2021-10-26,96.300003,96.669998,95.629997,96.199997,92.480347,3150900
2021-10-27,96.680000,96.750000,94.730003,94.870003,91.201782,3537100
2021-10-28,94.449997,96.019997,94.449997,95.970001,92.259247,4754500
2021-10-29,95.790001,96.070000,94.309998,94.540001,90.884537,5260500
2021-11-01,94.639999,94.639999,93.400002,93.419998,89.807831,3513400
2021-11-02,93.620003,94.220001,92.900002,94.019997,90.384644,3480000
2021-11-03,93.910004,94.809998,93.519997,94.730003,91.067192,2463500
2021-11-04,94.410004,94.510002,93.309998,93.720001,90.096245,2332400
2021-11-05,94.250000,95.250000,94.129997,94.300003,90.653816,2784100
2021-11-08,94.580002,94.830002,92.790001,92.889999,89.298340,4623600
2021-11-09,93.269997,94.349998,92.580002,93.669998,90.048172,4050800
2021-11-10,94.190002,94.570000,93.860001,94.379997,90.730721,3450400
2021-11-11,94.650002,95.169998,94.410004,95.000000,91.326744,3580700
2021-11-12,95.459999,95.940002,94.720001,94.760002,91.096031,3110200
2021-11-15,95.000000,95.529999,94.830002,95.360001,91.672821,2543100
2021-11-16,95.129997,95.339996,92.980003,93.070000,89.471375,3960000
2021-11-17,93.050003,93.900002,92.849998,93.589996,89.971268,5320300
2021-11-18,93.260002,93.419998,90.980003,91.550003,88.010147,5606700
2021-11-19,91.839996,91.839996,89.470001,90.400002,86.904610,5700900
2021-11-22,90.790001,91.410004,89.099998,89.779999,86.308586,8059100
2021-11-23,90.000000,90.239998,89.360001,89.650002,86.183609,6103400
